date,keyword,platform,metric
2020-07-12,Python,GoogleTrends,62
2020-07-19,Python,GoogleTrends,62
2020-07-26,Python,GoogleTrends,64
2020-08-02,Python,GoogleTrends,63
2020-08-09,Python,GoogleTrends,62
2020-08-16,Python,GoogleTrends,62
2020-08-23,Python,GoogleTrends,60
2020-08-30,Python,GoogleTrends,63
2020-09-06,Python,GoogleTrends,65
2020-09-13,Python,GoogleTrends,66
2020-09-20,Python,GoogleTrends,67
2020-09-27,Python,GoogleTrends,59
2020-10-04,Python,GoogleTrends,60
2020-10-11,Python,GoogleTrends,53
2020-10-18,Python,GoogleTrends,54
2020-10-25,Python,GoogleTrends,54
2020-11-01,Python,GoogleTrends,48
2020-11-08,Python,GoogleTrends,52
2020-11-15,Python,GoogleTrends,55
2020-11-22,Python,GoogleTrends,52
2020-11-29,Python,GoogleTrends,53
2020-12-06,Python,GoogleTrends,52
2020-12-13,Python,GoogleTrends,51
2020-12-20,Python,GoogleTrends,44
2020-12-27,Python,GoogleTrends,39
2021-01-03,Python,GoogleTrends,48
2021-01-10,Python,GoogleTrends,51
2021-01-17,Python,GoogleTrends,54
2021-01-24,Python,GoogleTrends,52
2021-01-31,Python,GoogleTrends,54
2021-02-07,Python,GoogleTrends,51
2021-02-14,Python,GoogleTrends,50
2021-02-21,Python,GoogleTrends,55
2021-02-28,Python,GoogleTrends,53
2021-03-07,Python,GoogleTrends,55
2021-03-14,Python,GoogleTrends,58
2021-03-21,Python,GoogleTrends,57
2021-03-28,Python,GoogleTrends,54
2021-04-04,Python,GoogleTrends,53
2021-04-11,Python,GoogleTrends,54
2021-04-18,Python,GoogleTrends,59
2021-04-25,Python,GoogleTrends,56
2021-05-02,Python,GoogleTrends,50
2021-05-09,Python,GoogleTrends,50
2021-05-16,Python,GoogleTrends,56
2021-05-23,Python,GoogleTrends,54
2021-05-30,Python,GoogleTrends,52
2021-06-06,Python,GoogleTrends,55
2021-06-13,Python,GoogleTrends,54
2021-06-20,Python,GoogleTrends,55
2021-06-27,Python,GoogleTrends,49
2021-07-04,Python,GoogleTrends,50
2021-07-11,Python,GoogleTrends,52
2021-07-18,Python,GoogleTrends,53
2021-07-25,Python,GoogleTrends,49
2021-08-01,Python,GoogleTrends,51
2021-08-08,Python,GoogleTrends,49
2021-08-15,Python,GoogleTrends,49
2021-08-22,Python,GoogleTrends,49
2021-08-29,Python,GoogleTrends,52
2021-09-05,Python,GoogleTrends,56
2021-09-12,Python,GoogleTrends,59
