date,keyword,platform,metric
2025-07-12,python full course,YouTube,1
2025-07-12,python,YouTube,1
2025-07-12,python for beginners,YouTube,1
2025-07-12,python funk,YouTube,1
2025-07-12,python code with harry,YouTube,1
2025-07-12,python full course for beginners,YouTube,1
2025-07-12,python one shot,YouTube,1
2025-07-12,python project,YouTube,1
2025-07-12,python full course in tamil,YouTube,1
2025-07-12,python tutorial for beginners,YouTube,1
2025-07-12,aigiri nandini,YouTube,1
2025-07-12,air india plane crash,YouTube,1
2025-07-12,aishwarya rai,YouTube,1
2025-07-12,air india,YouTube,1
2025-07-12,airtel customer care number,YouTube,1
2025-07-12,air india crash,YouTube,1
2025-07-12,airtel,YouTube,1
2025-07-12,aigiri nandini song,YouTube,1
2025-07-12,ai video,YouTube,1
2025-07-12,ai,YouTube,1
2025-07-12,machine learning,YouTube,1
2025-07-12,machine learning full course,YouTube,1
2025-07-12,machine learning projects,YouTube,1
2025-07-12,machine learning playlist,YouTube,1
2025-07-12,machine learning course,YouTube,1
2025-07-12,machine learning roadmap,YouTube,1
2025-07-12,machine learning one shot,YouTube,1
2025-07-12,machine learning with python,YouTube,1
2025-07-12,machine learning in tamil,YouTube,1
2025-07-12,machine learning tutorial,YouTube,1
