date,keyword,platform,metric
2025-07-13,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,amazon_bestsellers,1
2025-07-13,Mel Robbins,amazon_bestsellers,1
2025-07-13,Forgotten Home Apothecary : 250 Powerful Remedies at Your Fingertips,amazon_bestsellers,1
2025-07-13,Dr. Nicole Apelian,amazon_bestsellers,1
2025-07-13,"The Hardest Hidden Pictures Book Ever: The Hardest Hidden Pictures Book Ever (Highlights Hidden Pictures Puzzles) Over 1,500 Hidden Objects to Search and Find, Hardest Look-and-Find Book",amazon_bestsellers,1
2025-07-13,Highlights,amazon_bestsellers,1
2025-07-13,Every Summer After,amazon_bestsellers,1
2025-07-13,Carley Fortune,amazon_bestsellers,1
2025-07-13,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",amazon_bestsellers,1
2025-07-13,Bessel van der Kolk M.D.,amazon_bestsellers,1
2025-07-13,Just for the Summer,amazon_bestsellers,1
2025-07-13,Abby Jimenez,amazon_bestsellers,1
2025-07-13,The Big Book of Silly Jokes for Kids,amazon_bestsellers,1
2025-07-13,Carole P. Roman,amazon_bestsellers,1
2025-07-13,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,amazon_bestsellers,1
2025-07-13,James Clear,amazon_bestsellers,1
2025-07-13,The Wedding People: A Novel,amazon_bestsellers,1
2025-07-13,Alison Espach,amazon_bestsellers,1
2025-07-13,My First Library: Boxset of 10 Board Books for Kids,amazon_bestsellers,1
2025-07-13,Wonder House Books,amazon_bestsellers,1
2025-07-13,One Golden Summer,amazon_bestsellers,1
2025-07-13,Carley Fortune,amazon_bestsellers,1
2025-07-13,Project Hail Mary: A Novel,amazon_bestsellers,1
2025-07-13,Andy Weir,amazon_bestsellers,1
2025-07-13,The Nightingale: A Novel,amazon_bestsellers,1
2025-07-13,Kristin Hannah,amazon_bestsellers,1
2025-07-13,"Preschool Big Fun Workbook: 256-Page Preschool Activity Book Full of Preschool Math, Language Arts, Writing Practice, Shapes Practice, Puzzles and More (Highlights™ Big Fun Activity Workbooks)",amazon_bestsellers,1
2025-07-13,Highlights Learning,amazon_bestsellers,1
2025-07-13,Dungeon Crawler Carl,amazon_bestsellers,1
2025-07-13,Matt Dinniman,amazon_bestsellers,1
2025-07-13,The Art of Home: A Designer Guide to Creating an Elevated Yet Approachable Home,amazon_bestsellers,1
2025-07-13,Shea McGee,amazon_bestsellers,1
2025-07-13,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",amazon_bestsellers,1
2025-07-13,Crystal Radke,amazon_bestsellers,1
2025-07-13,"Ultimate Puzzle Challenge!: 125+ Brain Games for Kids, Mazes, Brain Teasers, Word Searches, Crossword Puzzles, Sudoku, Logic Puzzles and More, Kids Activity Book (Highlights Jumbo Books & Pads)",amazon_bestsellers,1
2025-07-13,Highlights,amazon_bestsellers,1
2025-07-13,The Most Fun We Ever Had (Reese's Book Club Pick): A Novel,amazon_bestsellers,1
2025-07-13,Claire Lombardo,amazon_bestsellers,1
2025-07-13,The Housemaid Is Watching,amazon_bestsellers,1
2025-07-13,Freida McFadden,amazon_bestsellers,1
2025-07-13,"See You Later, Alligator",amazon_bestsellers,1
2025-07-13,Sally Hopgood,amazon_bestsellers,1
2025-07-13,A People's History of the United States,amazon_bestsellers,1
2025-07-13,Howard Zinn,amazon_bestsellers,1
2025-07-13,Red Rising,amazon_bestsellers,1
2025-07-13,Pierce Brown,amazon_bestsellers,1
2025-07-13,I Love You to the Moon and Back,amazon_bestsellers,1
2025-07-13,Amelia Hepworth,amazon_bestsellers,1
2025-07-13,Sunrise on the Reaping (A Hunger Games Novel) (The Hunger Games),amazon_bestsellers,1
2025-07-13,Suzanne Collins,amazon_bestsellers,1
2025-07-13,The Housemaid,amazon_bestsellers,1
2025-07-13,Freida McFadden,amazon_bestsellers,1
2025-07-13,The Very Hungry Caterpillar,amazon_bestsellers,1
2025-07-13,Eric Carle,amazon_bestsellers,1
2025-07-13,Butler: The Untold Story of the Near Assassination of Donald Trump and the Fight for America's Heartland,amazon_bestsellers,1
2025-07-13,Salena Zito,amazon_bestsellers,1
2025-07-13,The Inmate,amazon_bestsellers,1
2025-07-13,Freida McFadden,amazon_bestsellers,1
2025-07-13,The Boyfriend,amazon_bestsellers,1
2025-07-13,Freida McFadden,amazon_bestsellers,1
