date,keyword,platform,metric
2025-07-13,chatgpt,youtube_autocomplete,1
2025-07-13,chatgpt pro,youtube_autocomplete,1
2025-07-13,chatgpt image generator,youtube_autocomplete,1
2025-07-13,chatgpt photo editing,youtube_autocomplete,1
2025-07-13,chatgpt operator,youtube_autocomplete,1
2025-07-13,chatgpt 5,youtube_autocomplete,1
2025-07-13,chatgpt plus,youtube_autocomplete,1
2025-07-13,chatgpt deep research,youtube_autocomplete,1
2025-07-13,chatgpt tasks,youtube_autocomplete,1
2025-07-13,chatgpt vs deepseek,youtube_autocomplete,1
2025-07-13,chatgpt plus vs free,youtube_autocomplete,1
2025-07-13,chatgpt 4.5,youtube_autocomplete,1
2025-07-13,chatgpt language change,youtube_autocomplete,1
2025-07-13,chatgpt vs stockfish,youtube_autocomplete,1
