date,keyword,platform,metric
2025-07-13,midjourney,youtube_autocomplete,1
2025-07-13,midjourney v7,youtube_autocomplete,1
2025-07-13,midjourney ai tutorial,youtube_autocomplete,1
2025-07-13,midjourney video,youtube_autocomplete,1
2025-07-13,midjourney tutorial,youtube_autocomplete,1
2025-07-13,midjourney consistent character,youtube_autocomplete,1
2025-07-13,midjourney editor,youtube_autocomplete,1
2025-07-13,midjourney ai,youtube_autocomplete,1
2025-07-13,midjourney product photography,youtube_autocomplete,1
2025-07-13,midjourney architecture,youtube_autocomplete,1
2025-07-13,midjourney video generator,youtube_autocomplete,1
2025-07-13,midjourney moodboard,youtube_autocomplete,1
2025-07-13,midjourney retexture,youtube_autocomplete,1
2025-07-13,midjourney 2025,youtube_autocomplete,1
