video_id,title,channelTitle,viewCount,likeCount,commentCount,thumbnail_url,date
zTD57bOhXMA,Huda: Love Island Tell All (Full Episode),Call Her Daddy,5438951,130844,19795,https://i.ytimg.com/vi/zTD57bOhXMA/hqdefault.jpg,2025-07-17T04:36:43Z
AuqEZx6TmfI,Stephen Colbert Announces The Cancellation Of “The Late Show”,The Late Show with Stephen Colbert,3952568,152551,45899,https://i.ytimg.com/vi/AuqEZx6TmfI/hqdefault.jpg,2025-07-18T02:04:38Z
ZdC5mFHPldg,Mortal Kombat II | Official Trailer,Warner Bros.,8529828,301986,24206,https://i.ytimg.com/vi/ZdC5mFHPldg/hqdefault.jpg,2025-07-17T16:05:00Z
BxY5l4ZK61I,Monster High Fright Song ft. KATSEYE | Official Music Video | Monster High,Monster High,1499887,244566,0,https://i.ytimg.com/vi/BxY5l4ZK61I/hqdefault.jpg,2025-07-18T04:00:15Z
YShVEXb7-ic,Tron: Ares | Official Trailer,Disney,6816911,106221,9895,https://i.ytimg.com/vi/YShVEXb7-ic/hqdefault.jpg,2025-07-17T16:00:55Z
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,Netflix,15146595,688753,39399,https://i.ytimg.com/vi/iKZyYdwS3Wg/hqdefault.jpg,2025-07-16T14:00:00Z
Jqt2yvDEgFE,Alex Warren - Eternity (Official Audio),Alex Warren,428287,33597,2181,https://i.ytimg.com/vi/Jqt2yvDEgFE/hqdefault.jpg,2025-07-18T04:00:24Z
TWIXeHGXlkk,Genshin Impact Version 5.8 Special Program #GenshinImpact #NewVersion #SpecialProgram,Genshin Impact,1070593,62056,5379,https://i.ytimg.com/vi/TWIXeHGXlkk/hqdefault.jpg,2025-07-18T12:00:05Z
ZdnIDsaVG18,Garten of Banban 8: Anti Devil - Official Trailer,Euphoric Brothers,794688,40167,13491,https://i.ytimg.com/vi/ZdnIDsaVG18/hqdefault.jpg,2025-07-18T14:00:11Z
pohQezw8VRw,Yeat & BNYX® - IM YEAT (Real Lyfe Shit),Yeat Music,481079,57553,4208,https://i.ytimg.com/vi/pohQezw8VRw/hqdefault.jpg,2025-07-18T04:00:04Z
