"ext"	"files"	"mb"
".exe"	"4"	"101.19"
".msi"	"1"	"63.89"
".py"	"6276"	"47.22"
".whl"	"6"	"37.35"
".tsv"	"46"	"34.56"
".json"	"58"	"28.6"
".html"	"4"	"4.03"
".txt"	"96"	"2.71"
".1"	"2"	"2.66"
".zip"	"10"	"1.31"
".csv"	"13"	"1.2"
".chromedriver"	"2"	"0.66"
".md"	"978"	"0.37"
".db"	"3"	"0.22"
".ps1"	"110"	"0.21"
".log"	"7"	"0.13"
".bak_20250903_181728"	"1"	"0.07"
".bak"	"16"	"0.02"
".bak_week12_20250911_182307"	"1"	"0.02"
".bak_sync_20250911_181952"	"1"	"0.02"
".png"	"3"	"0.02"
".cpp"	"1"	"0.01"
".c"	"1"	"0.01"
".lib"	"5"	"0.01"
".xlsx"	"1"	"0.01"
".h"	"2"	"0.01"
".bak_20250911_181435"	"1"	"0.01"
".bak_20250903_122246"	"1"	"0.01"
".bak3"	"1"	"0.01"
".bak2"	"1"	"0.01"
".bak_week3_20250903_125855"	"1"	"0.01"
".bak_sync_20250911_181710"	"1"	"0.01"
".bak_w11_20250903_130057"	"1"	"0.01"
".dummy"	"2"	"0"
".cmd"	"1"	"0"
".pyi"	"4"	"0"
"(no ext)"	"1"	"0"
".ini"	"6"	"0"
".coveragerc"	"1"	"0"
".sh"	"1"	"0"
".bak_20250903_171937"	"1"	"0"
".yml"	"9"	"0"
".main"	"1"	"0"
".bak_20250804135919"	"1"	"0"
".bat"	"1"	"0"
".bak_20250903_180350"	"2"	"0"
".bak_20250903_172545"	"2"	"0"
".gitignore"	"1"	"0"
".yaml"	"4"	"0"
".gitattributes"	"1"	"0"
".js"	"1"	"0"
".key"	"3"	"0"
".toml"	"1"	"0"
".cleanup-protect"	"2"	"0"
".cfg"	"3"	"0"
