"rel"	"name"	"ext"	"dir"	"size_bytes"	"size_mb"	"created"	"modified"	"age_days"	"phase"	"module"	"is_ready"	"is_py"	"is_large"	"is_old"	"sha256"
"rclone-v1.70.3-windows-amd64\rclone.exe"	"rclone.exe"	".exe"	"rclone-v1.70.3-windows-amd64"	"67394048"	"64.27"	"9/10/2025 3:19:03 PM"	"9/10/2025 3:19:04 PM"	"5"			"False"	"False"	"False"	"False"	"3E36B396C4CB71B8EAAE2300C21BEC26700B27CE5F6BE83EF6B86D214E294C8B"
"scripts\phase00\INBOX\AzureCLI_A1DB175C_A1DB175C_A1DB175C.msi"	"AzureCLI_A1DB175C_A1DB175C_A1DB175C.msi"	".msi"	"scripts\phase00\INBOX"	"66998272"	"63.89"	"7/31/2025 7:37:09 PM"	"7/31/2025 7:37:09 PM"	"46"			"False"	"False"	"False"	"False"	"A1DB175C23468D6BE3A0089C261024BB6810334054ECB8BA993F8D1038AE0F96"
"chromedriver.exe"	"chromedriver.exe"	".exe"	""	"19302912"	"18.41"	"7/31/2025 7:37:09 PM"	"7/31/2025 7:37:09 PM"	"46"			"False"	"False"	"False"	"False"	"2889FA77E0186203031536E49C6043D1F08B9F1BA82E1F32DD05A0AF03A92CD5"
"scripts\phase00\INBOX\chromedriver_2889FA77_2889FA77_2889FA77.exe"	"chromedriver_2889FA77_2889FA77_2889FA77.exe"	".exe"	"scripts\phase00\INBOX"	"19302912"	"18.41"	"7/31/2025 5:38:26 PM"	"7/31/2025 5:38:26 PM"	"46"			"False"	"False"	"False"	"False"	"2889FA77E0186203031536E49C6043D1F08B9F1BA82E1F32DD05A0AF03A92CD5"
"numpy-1.24.4-cp310-cp310-win_amd64.whl"	"numpy-1.24.4-cp310-cp310-win_amd64.whl"	".whl"	""	"14841514"	"14.15"	"9/10/2025 2:57:12 PM"	"9/10/2025 2:57:12 PM"	"5"			"False"	"False"	"False"	"False"	"B4BEA75E47D9586D31E892A7401F76E909712A0FD510F58F5337BEA9572C571E"
"outputs\reports\self_test\inventory_full.json"	"inventory_full.json"	".json"	"outputs\reports\self_test"	"13590563"	"12.96"	"9/14/2025 7:08:35 PM"	"9/14/2025 7:08:36 PM"	"1"			"False"	"False"	"False"	"False"	"462497A3535216E9E70EFFB4C91BF7F2E3141111DCA599675625A424B5CEBF31"
"wheels\numpy-2.2.6-cp310-cp310-win_amd64.whl"	"numpy-2.2.6-cp310-cp310-win_amd64.whl"	".whl"	"wheels"	"12904620"	"12.31"	"9/10/2025 2:57:13 PM"	"9/10/2025 2:57:13 PM"	"5"			"False"	"False"	"False"	"False"	"F0FD6321B839904E15C46E0D257FDD101DD7F530FE03FD6359C1EA63738703F3"
"pandas-2.0.3-cp310-cp310-win_amd64.whl"	"pandas-2.0.3-cp310-cp310-win_amd64.whl"	".whl"	""	"10664333"	"10.17"	"7/31/2025 5:38:26 PM"	"7/31/2025 5:38:26 PM"	"46"			"False"	"False"	"False"	"False"	"9EE1A69328D5C36C98D8E74DB06F4AD518A1840E8CCB94A4BA86920986BB617E"
"outputs\reports\self_test\inventory_full.tsv"	"inventory_full.tsv"	".tsv"	"outputs\reports\self_test"	"7346131"	"7.01"	"9/14/2025 7:08:34 PM"	"9/14/2025 7:08:34 PM"	"1"			"False"	"False"	"False"	"False"	"CDECF0CF00292C802EA3C073051055B3E8C30FD23E144C2804801767935EEFBD"
"outputs\reports\magic_full_scan.tsv"	"magic_full_scan.tsv"	".tsv"	"outputs\reports"	"6512121"	"6.21"	"9/14/2025 7:35:35 PM"	"9/14/2025 7:35:35 PM"	"1"			"False"	"False"	"False"	"False"	"0DB0F3BCEF0BE08FE27E1E36D83922B975D64DFBF9FA1151D561242AA0955BCF"
"outputs\reports\quick_scan.tsv"	"quick_scan.tsv"	".tsv"	"outputs\reports"	"6512009"	"6.21"	"9/14/2025 7:29:57 PM"	"9/14/2025 7:29:57 PM"	"1"			"False"	"False"	"False"	"False"	"BFA950C33C5121EBBFFE2D96856BB21DAE18C99CDE6F1133032A555734D38891"
"outputs\reports\self_test\orphans.tsv"	"orphans.tsv"	".tsv"	"outputs\reports\self_test"	"6170486"	"5.88"	"9/14/2025 7:09:24 PM"	"9/14/2025 7:18:28 PM"	"1"			"False"	"False"	"False"	"False"	"2E2BFD85DC02CEDAD9FE61E92D06F8AF40FFEB9D4B8AFF464364B8AF81EF612D"
