folder	orphans
D:\MAGIC\scripts\phase15\module_B	7
D:\MAGIC\scripts\phase12\module_A	7
D:\MAGIC\scripts\phase12\module_B	7
D:\MAGIC\scripts\phase17\module_C	6
D:\MAGIC\scripts\phase15\module_A	6
D:\MAGIC\scripts\phase15\module_C	6
D:\MAGIC\scripts\phase15\module_D	6
D:\MAGIC\scripts\phase15\module_E	6
D:\MAGIC\scripts\phase15\module_F	6
D:\MAGIC\scripts\phase15\module_G	6
D:\MAGIC\scripts\phase15\module_H	6
D:\MAGIC\scripts\phase15\module_I	6
D:\MAGIC\scripts\phase15\module_J	6
D:\MAGIC\scripts\phase12\module_C	6
D:\MAGIC\scripts\phase12\module_E	6
D:\MAGIC\scripts\phase17\module_A	5
D:\MAGIC\scripts\phase17\module_B	5
D:\MAGIC\scripts\phase17\module_D	5
D:\MAGIC\scripts\phase17\module_E	5
D:\MAGIC\scripts\phase12\module_F	5
D:\MAGIC\scripts\phase12\module_H	5
D:\MAGIC\scripts\phase12\module_I	5
D:\MAGIC\scripts\phase12\module_J	5
D:\MAGIC\scripts\phase12\module_K	5
D:\MAGIC\scripts\phase12\module_L	5
D:\MAGIC\scripts\phase12\module_M	5
D:\MAGIC\scripts\phase12\module_N	5
D:\MAGIC\scripts\phase12\module_O	5
D:\MAGIC\scripts\phase12\module_P	5
D:\MAGIC\scripts\phase12\module_Q	5
D:\MAGIC\scripts\phase12\module_R	5
D:\MAGIC\scripts\phase12\module_S	5
D:\MAGIC\scripts\phase10\module_D	5
D:\MAGIC\scripts\phase10\module_E	5
D:\MAGIC\scripts\phase10\module_F	5
D:\MAGIC\scripts\phase09\module_B	5
D:\MAGIC\scripts\phase09\module_D	5
D:\MAGIC\scripts\phase09\module_E	5
D:\MAGIC\scripts\phase16\module_A	4
D:\MAGIC\scripts\phase16\module_B	4
D:\MAGIC\scripts\phase16\module_C	4
D:\MAGIC\scripts\phase16\module_D	4
D:\MAGIC\scripts\phase16\module_E	4
D:\MAGIC\scripts\phase12\module_D	4
D:\MAGIC\scripts\phase12\module_G	4
D:\MAGIC\scripts\phase10\module_A	4
D:\MAGIC\scripts\phase10\module_B	4
D:\MAGIC\scripts\phase10\module_I	4
D:\MAGIC\scripts\phase10\module_J	4
D:\MAGIC\scripts\phase10\module_K	4
D:\MAGIC\scripts\phase10\module_L	4
D:\MAGIC\scripts\phase10\module_M	4
D:\MAGIC\scripts\phase10\module_N	4
D:\MAGIC\scripts\phase10\module_O	4
D:\MAGIC\scripts\phase10\module_P	4
D:\MAGIC\scripts\phase10\module_Q	4
D:\MAGIC\scripts\phase10\module_R	4
D:\MAGIC\scripts\phase10\module_S	4
D:\MAGIC\scripts\phase10\module_T	4
D:\MAGIC\scripts\phase10\module_U	4
D:\MAGIC\scripts\phase10\module_V	4
D:\MAGIC\scripts\phase10\module_W	4
D:\MAGIC\scripts\phase10\module_X	4
D:\MAGIC\scripts\phase10\module_Y	4
D:\MAGIC\scripts\phase10\module_Z	4
D:\MAGIC\scripts\phase09\module_A	4
D:\MAGIC\scripts\phase09\module_C	4
D:\MAGIC\scripts\phase06\module_E	4
D:\MAGIC\scripts\phase06\module_H	4
D:\MAGIC\scripts\phase01\module_H	4
D:\MAGIC\scripts\phase10\module_C	3
D:\MAGIC\scripts\phase10\module_G	3
D:\MAGIC\scripts\phase10\module_H	3
D:\MAGIC\scripts\phase09\module_F	3
D:\MAGIC\scripts\phase09\module_G	3
D:\MAGIC\scripts\phase09\module_H	3
D:\MAGIC\scripts\phase09\module_I	3
D:\MAGIC\scripts\phase09\module_J	3
D:\MAGIC\scripts\phase09\module_K	3
D:\MAGIC\scripts\phase08\module_A	3
D:\MAGIC\scripts\phase08\module_AA	3
D:\MAGIC\scripts\phase08\module_AB	3
D:\MAGIC\scripts\phase08\module_B	3
D:\MAGIC\scripts\phase08\module_C	3
D:\MAGIC\scripts\phase08\module_D	3
D:\MAGIC\scripts\phase08\module_E	3
D:\MAGIC\scripts\phase08\module_F	3
D:\MAGIC\scripts\phase08\module_G	3
D:\MAGIC\scripts\phase08\module_H	3
D:\MAGIC\scripts\phase08\module_I	3
D:\MAGIC\scripts\phase08\module_J	3
D:\MAGIC\scripts\phase08\module_K	3
D:\MAGIC\scripts\phase08\module_L	3
D:\MAGIC\scripts\phase08\module_M	3
D:\MAGIC\scripts\phase08\module_N	3
D:\MAGIC\scripts\phase08\module_O	3
D:\MAGIC\scripts\phase08\module_P	3
D:\MAGIC\scripts\phase08\module_Q	3
D:\MAGIC\scripts\phase08\module_R	3
D:\MAGIC\scripts\phase08\module_S	3
D:\MAGIC\scripts\phase08\module_T	3
D:\MAGIC\scripts\phase08\module_U	3
