"phase"	"total"	"ready"	"placeholder"	"missing"	"readinessPct"
"0"	"26"	"0"	"0"	"26"	"0"
"1"	"26"	"9"	"0"	"17"	"34.6"
"2"	"26"	"8"	"0"	"18"	"30.8"
"3"	"26"	"9"	"0"	"17"	"34.6"
"4"	"26"	"5"	"0"	"21"	"19.2"
"5"	"26"	"7"	"0"	"19"	"26.9"
"6"	"26"	"26"	"0"	"0"	"100"
"7"	"26"	"3"	"0"	"23"	"11.5"
"8"	"26"	"26"	"0"	"0"	"100"
"9"	"26"	"11"	"0"	"15"	"42.3"
"10"	"26"	"26"	"0"	"0"	"100"
"11"	"26"	"26"	"0"	"0"	"100"
"12"	"26"	"26"	"0"	"0"	"100"
"13"	"26"	"26"	"0"	"0"	"100"
"14"	"26"	"26"	"0"	"0"	"100"
"15"	"26"	"26"	"0"	"0"	"100"
"16"	"26"	"26"	"0"	"0"	"100"
"17"	"26"	"26"	"0"	"0"	"100"
"18"	"26"	"26"	"0"	"0"	"100"
