"dir"	"files"	"mb"
"scripts\phase00\INBOX"	"3279"	"130.52"
"rclone-v1.70.3-windows-amd64"	"5"	"72.29"
"."	"131"	"43.21"
"outputs\reports"	"72"	"29.98"
"outputs\reports\self_test"	"11"	"26.6"
"wheels"	"4"	"13.02"
"backups\QUARANTINE_20250912_142935"	"21"	"5.83"
"backups"	"11"	"1.24"
"backups\QUARANTINE_20250912_142935\agents\awareness"	"2"	"0.61"
"backups\QUARANTINE_20250912_142935\docs"	"17"	"0.43"
"tools"	"73"	"0.34"
"magic_file_tracker_export.csv"	"2"	"0.24"
"notion_export"	"2"	"0.24"
"docs"	"3"	"0.18"
"backups\QUARANTINE_20250912_142935\magic_file_tracker_export.csv"	"937"	"0.16"
"backups\QUARANTINE_20250912_142935\outputs\repo_doctor"	"1"	"0.13"
"outputs\repo_doctor\hotfix_backups\20250910_121743\tools"	"3"	"0.12"
"outputs\repo_doctor\hotfix_backups\20250910_121824\tools"	"3"	"0.12"
"outputs\repo_doctor"	"1"	"0.12"
"outputs\repo_doctor\hotfix_backups\20250910_122614\tools"	"3"	"0.12"
"agents\meta"	"10"	"0.09"
"outputs"	"1"	"0.07"
"outputs\dashboard"	"3"	"0.07"
"backups\QUARANTINE_20250912_142935\outputs\dashboard"	"3"	"0.06"
"backups\phase11"	"107"	"0.05"
"backups\phase11_final"	"107"	"0.05"
"outputs\repo_doctor\autofix_backups\20250910_120537\scripts"	"4"	"0.04"
"tests"	"21"	"0.04"
"data"	"1"	"0.03"
"backups\phase11_full_backup"	"65"	"0.03"
"backups\QUARANTINE_20250912_142935\tools\scan_reports"	"1"	"0.02"
"outputs\reports\self_test\logs"	"1"	"0.02"
"tools\scan_reports"	"1"	"0.02"
"orchestration"	"4"	"0.01"
"backups\phase11_autoheal_20250807_163038\module_A"	"9"	"0.01"
"backups\QUARANTINE_20250912_142935\outputs\rediscover"	"2"	"0.01"
"tools\gates"	"2"	"0.01"
"agents"	"5"	"0.01"
"scripts\phase11\module_A"	"9"	"0.01"
"backups\phase11_autoheal_20250807_163637\module_A"	"9"	"0.01"
"backups\phase11_autoheal_20250807_162520\module_A"	"9"	"0.01"
"outputs\repo_doctor\autofix_backups\20250910_120537\tools"	"1"	"0.01"
"backups\phase11_autoheal_20250807_162746\module_A"	"9"	"0.01"
"agents\awareness"	"7"	"0.01"
"backups\phase11_cleanup\module_A"	"11"	"0.01"
"backups\phase11_cleanup\module_I"	"9"	"0.01"
"backups\phase11_autoheal_20250807_170218\module_A"	"9"	"0.01"
"backups\phase11_autoheal_20250807_163323\module_A"	"9"	"0.01"
"sync"	"1"	"0.01"
"scripts\phase14\module_V"	"1"	"0"
"scripts\phase14\module_L"	"4"	"0"
"scripts\phase14\module_X"	"1"	"0"
"scripts\phase17\module_I"	"1"	"0"
"scripts\phase17\module_H"	"1"	"0"
"scripts\phase14\module_W"	"1"	"0"
"scripts\phase17\module_G"	"1"	"0"
"scripts\phase14\module_P"	"1"	"0"
"scripts\phase14\module_Q"	"1"	"0"
"scripts\phase14\module_R"	"1"	"0"
"scripts\phase14\module_S"	"1"	"0"
"scripts\phase14\module_M"	"4"	"0"
"scripts\phase14\module_U"	"1"	"0"
"scripts\phase14\module_T"	"1"	"0"
"scripts\phase14\module_O"	"1"	"0"
"scripts\phase14\module_N"	"1"	"0"
"scripts\phase13\module_X"	"1"	"0"
"scripts\phase13\module_W"	"1"	"0"
"scripts\phase13\module_Y"	"1"	"0"
"scripts\phase14\module_A"	"5"	"0"
"scripts\phase13\module_Z"	"1"	"0"
"scripts\phase13\module_S"	"1"	"0"
"scripts\phase17\module_J"	"1"	"0"
"scripts\phase13\module_T"	"1"	"0"
"scripts\phase13\module_V"	"1"	"0"
"scripts\phase13\module_U"	"1"	"0"
"scripts\phase14\module_B"	"6"	"0"
"scripts\phase14\module_H"	"3"	"0"
"scripts\phase14\module_G"	"4"	"0"
"scripts\phase14\module_I"	"4"	"0"
"scripts\phase14\module_K"	"4"	"0"
"scripts\phase14\module_J"	"5"	"0"
"scripts\phase14\module_D"	"7"	"0"
"scripts\phase14\module_C"	"6"	"0"
"scripts\phase14\module_E"	"9"	"0"
"scripts\phase14\module_F"	"5"	"0"
"scripts\phase15\module_G"	"6"	"0"
"scripts\phase16\module_J"	"1"	"0"
"scripts\phase16\module_I"	"1"	"0"
"scripts\phase16\module_H"	"1"	"0"
"scripts\phase16\module_K"	"1"	"0"
"scripts\phase16\module_N"	"1"	"0"
"scripts\phase16\module_M"	"1"	"0"
"scripts\phase16\module_L"	"1"	"0"
"scripts\phase16\module_C"	"4"	"0"
"scripts\phase16\module_B"	"4"	"0"
"scripts\phase16\module_A"	"4"	"0"
"scripts\phase16\module_D"	"4"	"0"
"scripts\phase16\module_G"	"1"	"0"
"scripts\phase16\module_F"	"1"	"0"
"scripts\phase16\module_E"	"4"	"0"
"scripts\phase16\module_O"	"1"	"0"
"scripts\phase16\module_Y"	"1"	"0"
"scripts\phase16\module_X"	"1"	"0"
"scripts\phase16\module_W"	"1"	"0"
"scripts\phase16\module_Z"	"1"	"0"
"scripts\phase17\module_C"	"8"	"0"
"scripts\phase17\module_B"	"5"	"0"
"scripts\phase17\module_A"	"5"	"0"
"scripts\phase16\module_R"	"1"	"0"
"scripts\phase16\module_Q"	"1"	"0"
"scripts\phase16\module_P"	"1"	"0"
"scripts\phase16\module_S"	"1"	"0"
"scripts\phase16\module_V"	"1"	"0"
"scripts\phase16\module_U"	"1"	"0"
"scripts\phase16\module_T"	"1"	"0"
"scripts\phase15\module_Z"	"1"	"0"
"scripts\phase15\module_F"	"6"	"0"
"scripts\phase15\module_E"	"6"	"0"
"scripts\phase15\module_D"	"6"	"0"
"scripts\phase17\module_D"	"5"	"0"
"scripts\phase15\module_J"	"6"	"0"
"scripts\phase15\module_I"	"6"	"0"
"scripts\phase15\module_H"	"6"	"0"
"scripts\phase17\module_E"	"5"	"0"
"scripts\phase17\module_F"	"1"	"0"
"scripts\phase14\module_Y"	"1"	"0"
"scripts\phase14\module_Z"	"1"	"0"
"scripts\phase15\module_C"	"6"	"0"
"scripts\phase15\module_B"	"8"	"0"
"scripts\phase15\module_A"	"6"	"0"
"scripts\phase15\module_K"	"1"	"0"
"scripts\phase15\module_U"	"1"	"0"
"scripts\phase15\module_T"	"1"	"0"
"scripts\phase15\module_S"	"1"	"0"
"scripts\phase15\module_V"	"1"	"0"
"scripts\phase15\module_Y"	"1"	"0"
"scripts\phase15\module_X"	"1"	"0"
"scripts\phase15\module_W"	"1"	"0"
"scripts\phase15\module_N"	"1"	"0"
"scripts\phase15\module_M"	"1"	"0"
"scripts\phase15\module_L"	"1"	"0"
"scripts\phase15\module_O"	"1"	"0"
"scripts\phase15\module_R"	"1"	"0"
"scripts\phase15\module_Q"	"1"	"0"
"scripts\phase15\module_P"	"1"	"0"
"scripts\phase13\module_R"	"1"	"0"
"scripts\phase10\module_K"	"4"	"0"
"scripts\phase10\module_J"	"4"	"0"
"scripts\phase10\module_I"	"4"	"0"
"scripts\phase10\module_L"	"4"	"0"
"scripts\phase10\module_O"	"4"	"0"
"scripts\phase10\module_N"	"4"	"0"
"scripts\phase10\module_M"	"4"	"0"
"scripts\phase10\module_H"	"3"	"0"
"scripts\phase10\module_C"	"3"	"0"
"scripts\phase10\module_B"	"4"	"0"
"scripts\phase10\module_A"	"4"	"0"
"scripts\phase10\module_D"	"5"	"0"
"scripts\phase10\module_G"	"3"	"0"
"scripts\phase10\module_F"	"5"	"0"
"scripts\phase10\module_E"	"5"	"0"
"scripts\phase10\module_P"	"4"	"0"
"scripts\phase11\module_B"	"6"	"0"
"scripts\phase10\module_Z"	"4"	"0"
"scripts\phase10\module_Y"	"4"	"0"
"scripts\phase11\module_C"	"2"	"0"
"scripts\phase11\module_F"	"5"	"0"
"scripts\phase11\module_E"	"6"	"0"
"scripts\phase11\module_D"	"4"	"0"
"scripts\phase10\module_X"	"4"	"0"
"scripts\phase10\module_S"	"4"	"0"
"scripts\phase10\module_R"	"4"	"0"
"scripts\phase10\module_Q"	"4"	"0"
"scripts\phase10\module_T"	"4"	"0"
"scripts\phase10\module_W"	"4"	"0"
"scripts\phase10\module_V"	"4"	"0"
"scripts\phase10\module_U"	"4"	"0"
"scripts\phase1\module_F"	"1"	"0"
"scripts\phase1\module_E"	"1"	"0"
"scripts\phase1\module_D"	"1"	"0"
"scripts\phase1\module_G"	"1"	"0"
"scripts\phase1\module_J"	"1"	"0"
"scripts\phase1\module_I"	"1"	"0"
"scripts\phase1\module_H"	"1"	"0"
"scripts\phase1\module_C"	"1"	"0"
"scripts\phase09\module_I"	"3"	"0"
"scripts\phase09\module_H"	"3"	"0"
"scripts\phase09\module_G"	"3"	"0"
"scripts\phase09\module_J"	"3"	"0"
"scripts\phase1\module_B"	"1"	"0"
"scripts\phase1\module_A"	"1"	"0"
"scripts\phase09\module_K"	"3"	"0"
"scripts\phase1\module_K"	"1"	"0"
"scripts\phase1\module_V"	"1"	"0"
"scripts\phase1\module_U"	"1"	"0"
"scripts\phase1\module_T"	"1"	"0"
"scripts\phase1\module_W"	"1"	"0"
"scripts\phase1\module_Z"	"1"	"0"
"scripts\phase1\module_Y"	"1"	"0"
"scripts\phase1\module_X"	"1"	"0"
"scripts\phase1\module_S"	"1"	"0"
"scripts\phase1\module_N"	"1"	"0"
"scripts\phase1\module_M"	"1"	"0"
"scripts\phase1\module_L"	"1"	"0"
"scripts\phase1\module_O"	"1"	"0"
"scripts\phase1\module_R"	"1"	"0"
"scripts\phase1\module_Q"	"1"	"0"
"scripts\phase1\module_P"	"1"	"0"
"scripts\phase11\module_G"	"2"	"0"
"scripts\phase12\module_W"	"1"	"0"
"scripts\phase12\module_V"	"1"	"0"
"scripts\phase12\module_U"	"1"	"0"
"scripts\phase12\module_X"	"1"	"0"
"scripts\phase13\module_A"	"7"	"0"
"scripts\phase12\module_Z"	"1"	"0"
"scripts\phase12\module_Y"	"1"	"0"
"scripts\phase12\module_T"	"1"	"0"
"scripts\phase12\module_O"	"5"	"0"
"scripts\phase12\module_N"	"5"	"0"
"scripts\phase12\module_M"	"5"	"0"
"scripts\phase12\module_P"	"5"	"0"
"scripts\phase12\module_S"	"5"	"0"
"scripts\phase12\module_R"	"5"	"0"
"scripts\phase12\module_Q"	"5"	"0"
"scripts\phase13\module_B"	"7"	"0"
"scripts\phase13\module_M"	"4"	"0"
"scripts\phase13\module_L"	"5"	"0"
"scripts\phase13\module_K"	"5"	"0"
"scripts\phase13\module_N"	"4"	"0"
"scripts\phase13\module_Q"	"1"	"0"
