path	exists
tools	True
docs	True
config	False
outputs	True
data	True
assets	True
tests	True
notebooks	False
scripts	True
scripts\phase0	True
scripts\phase1	True
scripts\phase2	True
scripts\phase3	True
scripts\phase4	True
scripts\phase5	True
scripts\phase6	True
scripts\phase7	True
scripts\phase8	True
scripts\phase9	True
scripts\phase10	True
scripts\phase11	True
scripts\phase12	True
scripts\phase13	True
scripts\phase14	True
scripts\phase15	True
scripts\phase16	True
scripts\phase17	True
scripts\phase18	True
